Price,Day,Month,Year,Price_lag1,Price_lag7,Price_rolling_mean7
0.0711417096959266,29,5,1997,0.0740103270223752,0.0688468158347677,0.0690107368248504
0.0676993689041882,30,5,1997,0.0711417096959266,0.0671256454388985,0.0690926973198918
0.065978198508319,2,6,1997,0.0676993689041882,0.0665519219736087,0.0690107368248504
0.0608146873207114,3,6,1997,0.065978198508319,0.0671256454388985,0.0681091713793951
0.0654044750430293,4,6,1997,0.0608146873207114,0.065978198508319,0.0680272108843537
0.0648307515777395,5,6,1997,0.0654044750430293,0.0711417096959266,0.0671256454388984
0.0654044750430293,6,6,1997,0.0648307515777395,0.0740103270223752,0.0658962380132776
0.0654044750430293,9,6,1997,0.0654044750430293,0.0711417096959266,0.0650766330628637
0.0636833046471601,10,6,1997,0.0654044750430293,0.0676993689041882,0.064502909597574
0.0636833046471601,11,6,1997,0.0636833046471601,0.065978198508319,0.0641750676174084
0.0625358577165806,12,6,1997,0.0636833046471601,0.0608146873207114,0.0644209491025326
0.0631095811818703,13,6,1997,0.0625358577165806,0.0654044750430293,0.064093107122367
0.065978198508319,16,6,1997,0.0631095811818703,0.0648307515777395,0.0642570281124498
0.065978198508319,17,6,1997,0.065978198508319,0.0654044750430293,0.0643389886074912
0.0671256454388985,18,6,1997,0.065978198508319,0.0654044750430293,0.0645848700926154
0.0676993689041882,19,6,1997,0.0671256454388985,0.0636833046471601,0.0651585935579051
0.0688468158347677,20,6,1997,0.0676993689041882,0.0636833046471601,0.0658962380132776
0.0711417096959266,23,6,1997,0.0688468158347677,0.0625358577165806,0.0671256454388985
0.0728628800917957,24,6,1997,0.0711417096959266,0.0631095811818703,0.0685189738546021
0.0728628800917957,25,6,1997,0.0728628800917957,0.065978198508319,0.0695024997950988
0.0676993689041882,26,6,1997,0.0728628800917957,0.065978198508319,0.0697483812802229
0.0642570281124498,27,6,1997,0.0676993689041882,0.0671256454388985,0.069338578805016
0.0642570281124498,30,6,1997,0.0642570281124498,0.0676993689041882,0.0688468158347676
0.0636833046471601,1,7,1997,0.0642570281124498,0.0688468158347677,0.0681091713793951
0.0625358577165806,2,7,1997,0.0636833046471601,0.0711417096959266,0.0668797639537743
0.0608146873207114,3,7,1997,0.0625358577165806,0.0728628800917957,0.0651585935579051
0.0619621342512909,7,7,1997,0.0608146873207114,0.0728628800917957,0.0636013441521187
0.0619621342512909,8,7,1997,0.0619621342512909,0.0676993689041882,0.0627817392017048
0.0636833046471601,9,7,1997,0.0619621342512909,0.0642570281124498,0.0626997787066634
0.0631095811818703,10,7,1997,0.0636833046471601,0.0642570281124498,0.0625358577165806
0.0636833046471601,11,7,1997,0.0631095811818703,0.0636833046471601,0.0625358577165806
0.0648307515777395,14,7,1997,0.0636833046471601,0.0625358577165806,0.0628636996967462
0.0665519219736087,15,7,1997,0.0648307515777395,0.0608146873207114,0.0636833046471601
0.0682730923694779,16,7,1997,0.0665519219736087,0.0619621342512909,0.0645848700926154
0.0711417096959266,17,7,1997,0.0682730923694779,0.0619621342512909,0.0658962380132776
0.0694205393000574,18,7,1997,0.0711417096959266,0.0636833046471601,0.0667158429636915
0.0642570281124498,21,7,1997,0.0694205393000574,0.0631095811818703,0.0668797639537743
0.0648307515777395,22,7,1997,0.0642570281124498,0.0636833046471601,0.0670436849438571
0.065978198508319,23,7,1997,0.0648307515777395,0.0648307515777395,0.0672076059339398
0.0682730923694779,24,7,1997,0.065978198508319,0.0665519219736087,0.067453487419064
0.0671256454388985,25,7,1997,0.0682730923694779,0.0682730923694779,0.0672895664289812
0.0654044750430293,28,7,1997,0.0671256454388985,0.0711417096959266,0.0664699614785673
0.0676993689041882,29,7,1997,0.0654044750430293,0.0694205393000574,0.0662240799934432
0.0654044750430293,30,7,1997,0.0676993689041882,0.0642570281124498,0.0663880009835259
0.0676993689041882,31,7,1997,0.0654044750430293,0.0648307515777395,0.0667978034587329
0.0682730923694779,1,8,1997,0.0676993689041882,0.065978198508319,0.0671256454388985
0.0694205393000574,4,8,1997,0.0682730923694779,0.0682730923694779,0.0672895664289812
0.0734366035570855,5,8,1997,0.0694205393000574,0.0671256454388985,0.0681911318744365
0.0763052208835341,6,8,1997,0.0734366035570855,0.0654044750430293,0.0697483812802229
0.0831899024670109,7,8,1997,0.0763052208835341,0.0676993689041882,0.0719613146463405
0.0763052208835341,8,8,1997,0.0831899024670109,0.0654044750430293,0.0735185640521269
0.0849110728628801,11,8,1997,0.0763052208835341,0.0676993689041882,0.0759773789033686
0.0866322432587493,12,8,1997,0.0849110728628801,0.0682730923694779,0.0786001147446931
0.0803212851405623,13,8,1997,0.0866322432587493,0.0694205393000574,0.0801573641504795
0.087205966724039,14,8,1997,0.0803212851405623,0.0734366035570855,0.0821244160314728
0.0849110728628801,15,8,1997,0.087205966724039,0.0763052208835341,0.0833538234570937
0.0866322432587493,18,8,1997,0.0849110728628801,0.0831899024670109,0.083845586427342
0.0895008605851979,19,8,1997,0.0866322432587493,0.0763052208835341,0.085730677813294
0.0900745840504877,20,8,1997,0.0895008605851979,0.0849110728628801,0.0864683222686665
0.0803212851405623,21,8,1997,0.0900745840504877,0.0866322432587493,0.0855667568232112
0.0814687320711417,22,8,1997,0.0803212851405623,0.0803212851405623,0.085730677813294
0.0849110728628801,25,8,1997,0.0814687320711417,0.087205966724039,0.0854028358331284
0.0877796901893287,26,8,1997,0.0849110728628801,0.0849110728628801,0.0858126383083354
0.0837636259323006,27,8,1997,0.0877796901893287,0.0866322432587493,0.0854028358331284
0.087205966724039,28,8,1997,0.0837636259323006,0.0895008605851979,0.0850749938529629
0.0940906483075158,29,8,1997,0.087205966724039,0.0900745840504877,0.0856487173182526
0.101549053356282,2,9,1997,0.0940906483075158,0.0803212851405623,0.088681255634784
0.103843947217441,3,9,1997,0.101549053356282,0.0814687320711417,0.0918777149413982
0.0963855421686747,4,9,1997,0.103843947217441,0.0849110728628801,0.093516924842226
0.0929432013769363,5,9,1997,0.0963855421686747,0.0877796901893287,0.0942545692975986
0.0929432013769363,8,9,1997,0.0929432013769363,0.0837636259323006,0.0955659372182608
0.0969592656339644,9,9,1997,0.0929432013769363,0.087205966724039,0.0969592656339644
0.0969592656339644,10,9,1997,0.0969592656339644,0.0940906483075158,0.0973690681091714
0.0992541594951233,11,9,1997,0.0969592656339644,0.101549053356282,0.0970412261290058
0.103843947217441,12,9,1997,0.0992541594951233,0.103843947217441,0.0970412261290058
0.104991394148021,15,9,1997,0.103843947217441,0.0963855421686747,0.0982706335546267
0.102122776821572,16,9,1997,0.104991394148021,0.0929432013769363,0.0995820014752889
0.0975329890992541,17,9,1997,0.102122776821572,0.0929432013769363,0.10023768543562
0.102696500286862,18,9,1997,0.0975329890992541,0.0969592656339644,0.101057290386034
0.108433734939759,19,9,1997,0.102696500286862,0.0969592656339644,0.102696500286862
0.110728628800918,22,9,1997,0.108433734939759,0.0992541594951233,0.10433571018769
0.117039586919105,23,9,1997,0.110728628800918,0.103843947217441,0.106220801573642
0.113597246127367,24,9,1997,0.117039586919105,0.104991394148021,0.107450208999262
0.114744693057946,25,9,1997,0.113597246127367,0.102122776821572,0.109253339890173
0.125645438898451,26,9,1997,0.114744693057946,0.0975329890992541,0.113269404147201
0.117039586919105,29,9,1997,0.125645438898451,0.102696500286862,0.115318416523236
0.109581181870339,30,9,1997,0.117039586919105,0.108433734939759,0.115482337513319
0.116465863453815,1,10,1997,0.109581181870339,0.110728628800918,0.116301942463732
0.110154905335628,2,10,1997,0.116465863453815,0.117039586919105,0.115318416523236
0.10671256454389,3,10,1997,0.110154905335628,0.113597246127367,0.114334890582739
0.109581181870339,6,10,1997,0.10671256454389,0.114744693057946,0.113597246127367
0.100975329890993,7,10,1997,0.109581181870339,0.125645438898451,0.110072944840587
0.100401606425703,8,10,1997,0.100975329890993,0.117039586919105,0.107696090484387
0.100401606425703,9,10,1997,0.100401606425703,0.109581181870339,0.106384722563724
0.0992541594951233,10,10,1997,0.100401606425703,0.116465863453815,0.103925907712483
0.104417670682731,13,10,1997,0.0992541594951233,0.110154905335628,0.103106302762069
0.102696500286862,14,10,1997,0.104417670682731,0.10671256454389,0.102532579296779
0.102696500286862,15,10,1997,0.102696500286862,0.109581181870339,0.101549053356282
0.108433734939759,16,10,1997,0.102696500286862,0.100975329890993,0.10261453979182
0.110154905335628,17,10,1997,0.108433734939759,0.100401606425703,0.104007868207524
0.114744693057946,20,10,1997,0.110154905335628,0.100401606425703,0.106056880583559
0.119334480780264,21,10,1997,0.114744693057946,0.0992541594951233,0.108925497910007
0.125645438898451,22,10,1997,0.119334480780264,0.104417670682731,0.111958036226539
0.131382673551348,23,10,1997,0.125645438898451,0.102696500286862,0.116056060978608
0.1285140562249,24,10,1997,0.131382673551348,0.102696500286862,0.119744283255471
0.138267355134825,27,10,1997,0.1285140562249,0.108433734939759,0.124006228997623
0.146873207114171,28,10,1997,0.138267355134825,0.110154905335628,0.129251700680272
0.137693631669535,29,10,1997,0.146873207114171,0.114744693057946,0.132530120481928
0.131382673551348,30,10,1997,0.137693631669535,0.119334480780264,0.134251290877797
0.124497991967872,31,10,1997,0.131382673551348,0.125645438898451,0.134087369887714
0.125071715433161,3,11,1997,0.124497991967872,0.131382673551348,0.133185804442259
0.120481927710843,4,11,1997,0.125071715433161,0.1285140562249,0.132038357511679
0.122203098106713,5,11,1997,0.120481927710843,0.138267355134825,0.12974346365052
0.123350545037292,6,11,1997,0.122203098106713,0.146873207114171,0.126383083353823
0.114744693057946,7,11,1997,0.123350545037292,0.137693631669535,0.123104663552168
0.123350545037292,10,11,1997,0.114744693057946,0.131382673551348,0.121957216621588
0.12679288582903,11,11,1997,0.123350545037292,0.124497991967872,0.122285058601754
0.12794033275961,12,11,1997,0.12679288582903,0.125071715433161,0.122694861076961
0.12736660929432,13,11,1997,0.12794033275961,0.120481927710843,0.123678387017458
0.126219162363741,14,11,1997,0.12736660929432,0.122203098106713,0.124252110482747
0.117613310384395,17,11,1997,0.126219162363741,0.123350545037292,0.123432505532333
0.111876075731497,18,11,1997,0.117613310384395,0.114744693057946,0.123022703057126
